	Millis	  V_m  A_m   W_m   Wh_mTmp_m Pres_m Vcap_m State_m	  V_s  A_s   W_s   Wh_sTmp_s Pres_s Vcap_s State_s
FC	2d6ee	52.5  2.4 130.0  6.0 44.9  0.7 41.4  1.0 	41.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2df50	59.5  0.6 39.0  6.0 44.9  0.7 41.4  1.0 	35.8 15.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2e647	60.0  0.6 37.0  6.0 44.9  0.7 41.4  1.0 	39.9  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2eea5	39.8 21.5 858.0  7.0 44.9  0.6 35.7  1.0 	39.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2f704	40.6 23.7 963.0  7.0 44.9  0.5 35.7  1.0 	43.4  1.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	2fdfd	44.9 17.9 806.0  8.0 44.9  0.6 35.7  1.0 	41.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3065f	53.1  1.9 105.0  8.0 44.9  0.7 41.5  1.0 	41.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	30d56	59.4  0.7 42.0  8.0 44.9  0.7 41.5  1.0 	35.8 16.8 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	315b5	59.9  0.7 43.0  8.0 44.9  0.7 41.5  1.0 	35.6 11.4 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	31e13	54.6  0.7 39.0  8.0 44.9  0.7 34.9  1.0 	38.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3250c	59.6  0.7 43.0  8.0 44.9  0.7 34.9  1.0 	34.2 15.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	32d6b	60.0  0.6 40.0  8.0 44.9  0.7 34.9  1.0 	35.2  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	33464	38.5 25.0 965.0  8.0 44.9  0.5 32.5  1.0 	36.8  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	33893	37.7 28.8 1088.0  9.0 44.9  0.5 32.5  1.0 	37.5  1.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	340f2	38.9 27.1 1056.0  9.0 44.9  0.6 32.5  1.0 	38.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	347ee	40.4 25.7 1040.0 10.0 44.9  0.6 37.6  1.0 	43.2  1.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3504d	44.8 19.7 886.0 10.0 44.9  0.6 37.6  1.0 	45.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	358af	44.7 18.8 842.0 11.0 44.9  0.6 37.6  1.0 	41.5  6.6 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	35fa4	41.4 24.4 1013.0 11.0 45.6  0.6 39.0  1.0 	45.4  1.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	36804	46.8 16.1 755.0 12.0 47.1  0.6 39.0  1.0 	46.6  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	36efd	47.7 13.0 622.0 12.0 48.7  0.5 39.0  1.0 	41.9  7.4 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3775c	42.1 21.2 897.0 13.0 50.0  0.7 39.7  1.0 	39.4 12.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	37fbe	59.0  0.6 37.0 13.0 50.2  0.7 39.7  1.0 	39.3  6.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	386b5	59.9  0.5 34.0 13.0 50.2  0.7 39.7  1.0 	38.8  2.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	38f13	60.2  0.6 39.0 13.0 50.2  0.6 38.8  1.0 	43.2  1.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3960d	44.7 16.0 717.0 13.0 50.2  0.6 38.8  1.0 	44.8  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	39e6d	46.1 13.5 626.0 13.0 50.2  0.6 38.8  1.0 	46.0  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	3a6cc	47.4 11.6 551.0 14.0 50.2  0.6 44.3  1.0 	47.4  0.5 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
