H182_noSync_v1.3.1
**
Starting Upv1.3.1
**
System Init.>>00.0V 00.0A 0000W 00000Wh 000.0C 000.0C 000.0C 000.0C 0.00B 00.0V 000.0C IN 00.0C 00 0
000 m
>>59.7V 00.6A 0037W 00001Wh 025.8C 032.6C 034.2C 032.9C 0.69B 55.0V 035.1C OP 41.1C 20 0204 0C 00 0
>>60.0V 00.5A 0035W 00001Wh 025.9C 032.7C 034.3C 033.0C 0.68B 55.0V 035.0C OP 41.1C 20 0203 0C 00 0
>>60.1V 00.6A 0039W 00001Wh 025.9C 032.7C 034.4C 033.0C 0.66B 55.0V 034.5C OP 41.1C 20 0204 0C 00 0
>>53.2V 01.2A 0065W 00001Wh 026.1C 032.8C 034.5C 033.1C 0.66B 55.0V 035.5C OP 41.2C 20 0207 0C 00 0
>>55.8V 01.4A 0080W 00001Wh 026.1C 032.9C 034.5C 033.1C 0.66B 55.0V 035.3C OP 41.3C 20 0209 0C 00 0
>>55.8V 01.3A 0076W 00001Wh 026.2C 032.9C 034.6C 033.2C 0.67B 55.0V 035.1C OP 41.3C 20 0209 0C 00 0
>>55.8V 01.3A 0074W 00001Wh 026.2C 032.9C 034.7C 033.3C 0.66B 55.0V 034.9C OP 41.3C 20 0208 0C 00 0
>>55.9V 01.2A 0069W 00001Wh 026.3C 033.0C 034.8C 033.3C 0.66B 55.0V 035.9C OP 41.3C 20 0208 0C 00 0
>>55.9V 01.2A 0068W 00001Wh 026.3C 033.0C 034.8C 033.4C 0.66B 55.0V 035.1C OP 41.2C 20 0208 0C 00 0
>>53.3V 01.2A 0064W 00001Wh 026.4C 033.1C 034.8C 033.4C 0.66B 55.0V 035.2C OP 41.2C 20 0208 0C 00 0
>>56.0V 01.3A 0077W 00001Wh 026.4C 033.1C 034.9C 033.5C 0.67B 55.0V 035.0C OP 41.3C 20 0209 0C 00 0
