	Millis	 V_cI A_cI	 V_cO A_cO	 V_MT A_MT
CS	240c8	50.8  6.5 	50.0  0.0 	50.5  0.0 
CS	2432d	51.0  7.3 	50.3  0.0 	51.1  0.0 
CS	246c2	46.3  0.0 	45.5 12.5 	46.9 33.6 
CS	247f4	44.1  0.0 	43.4 21.0 	45.5 40.0 
CS	24a59	50.2  7.8 	49.5  1.5 	50.3  0.0 
CS	24def	50.5  6.8 	49.7  0.0 	50.6  0.0 
CS	25053	50.7  6.3 	49.3  0.0 	50.8  0.3 
CS	25186	48.8  0.0 	47.7  5.7 	48.1 19.6 
CS	2564d	46.0  0.0 	46.6  4.0 	46.5 22.8 
CS	25780	44.2  0.0 	43.6 12.3 	44.8 35.3 
CS	259e4	41.0  0.0 	41.3 24.6 	42.5 31.2 
CS	25d8b	40.7  0.0 	40.2 21.0 	41.1 25.1 
CS	25fdf	40.8  0.0 	40.3 15.7 	41.1 19.3 
CS	26111	40.3  0.0 	40.1 17.0 	40.7 19.9 
CS	265ea	43.6  5.7 	43.1  0.0 	42.4  0.1 
CS	2670b	43.6  0.0 	43.1  0.0 	43.0  0.1 
CS	2696f	43.1  0.0 	43.2  0.0 	42.8  0.1 
CS	26d06	43.7  0.0 	43.2  0.0 	43.0  0.0 
CS	26f6a	43.7  0.0 	43.2  0.0 	43.1  0.1 
CS	2709c	43.7  0.0 	43.5  0.0 	43.1  0.1 
CS	27438	47.3 12.0 	46.7  0.5 	47.5  0.0 
CS	27697	47.6 11.7 	46.9  0.0 	48.8  0.3 
CS	278fa	48.0 10.9 	47.3  0.0 	48.2  0.7 
CS	27c91	42.5  0.0 	42.9  5.7 	44.6 29.1 
CS	27ef5	41.3  0.0 	40.8  4.6 	42.3 32.4 
CS	28027	41.4  0.0 	40.7  6.6 	41.3 34.6 
CS	283be	47.8 12.0 	47.2  0.5 	48.0  0.0 
CS	28627	48.2 11.1 	47.5  0.5 	48.4  0.0 
CS	28887	45.9  0.0 	45.2  0.0 	45.2  0.0 
CS	28c1d	49.1  9.7 	48.5  0.5 	49.2  0.0 
CS	28d4e	49.0 10.0 	48.5  0.5 	49.4  0.0 
CS	28fb3	49.5  9.0 	48.8  0.0 	49.6  0.0 
CS	29349	49.8  5.0 	49.1  0.0 	49.8  0.8 
CS	29823	45.2  0.0 	44.2  5.4 	45.2 25.3 
